"","region.type","region","year","week","time","weighted_ili","time_index","season","season_week"
"1","HHS Regions","Region 1",1997,40,1997-09-27 20:00:00,0.498535,10131,"1997/1998",10
"2","HHS Regions","Region 2",1997,40,1997-09-27 20:00:00,0.374963,10131,"1997/1998",10
"3","HHS Regions","Region 3",1997,40,1997-09-27 20:00:00,1.35428,10131,"1997/1998",10
"4","HHS Regions","Region 4",1997,40,1997-09-27 20:00:00,0.400338,10131,"1997/1998",10
"5","HHS Regions","Region 5",1997,40,1997-09-27 20:00:00,1.22926,10131,"1997/1998",10
"6","HHS Regions","Region 6",1997,40,1997-09-27 20:00:00,1.01898,10131,"1997/1998",10
"7","HHS Regions","Region 7",1997,40,1997-09-27 20:00:00,0.871791,10131,"1997/1998",10
"8","HHS Regions","Region 8",1997,40,1997-09-27 20:00:00,0.516017,10131,"1997/1998",10
"9","HHS Regions","Region 9",1997,40,1997-09-27 20:00:00,1.80761,10131,"1997/1998",10
"10","HHS Regions","Region 10",1997,40,1997-09-27 20:00:00,4.74352,10131,"1997/1998",10
"11","HHS Regions","Region 1",1997,41,1997-10-04 20:00:00,0.642669,10138,"1997/1998",11
"12","HHS Regions","Region 2",1997,41,1997-10-04 20:00:00,0.315666,10138,"1997/1998",11
"13","HHS Regions","Region 3",1997,41,1997-10-04 20:00:00,1.47978,10138,"1997/1998",11
"14","HHS Regions","Region 4",1997,41,1997-10-04 20:00:00,1.42389,10138,"1997/1998",11
"15","HHS Regions","Region 5",1997,41,1997-10-04 20:00:00,1.136,10138,"1997/1998",11
"16","HHS Regions","Region 6",1997,41,1997-10-04 20:00:00,1.44932,10138,"1997/1998",11
"17","HHS Regions","Region 7",1997,41,1997-10-04 20:00:00,0.449154,10138,"1997/1998",11
"18","HHS Regions","Region 8",1997,41,1997-10-04 20:00:00,0.50308,10138,"1997/1998",11
"19","HHS Regions","Region 9",1997,41,1997-10-04 20:00:00,1.39478,10138,"1997/1998",11
"20","HHS Regions","Region 10",1997,41,1997-10-04 20:00:00,3.98637,10138,"1997/1998",11
"21","HHS Regions","Region 1",1997,42,1997-10-11 20:00:00,2.89908,10145,"1997/1998",12
"22","HHS Regions","Region 2",1997,42,1997-10-11 20:00:00,0.310564,10145,"1997/1998",12
"23","HHS Regions","Region 3",1997,42,1997-10-11 20:00:00,2.63598,10145,"1997/1998",12
"24","HHS Regions","Region 4",1997,42,1997-10-11 20:00:00,0.966721,10145,"1997/1998",12
"25","HHS Regions","Region 5",1997,42,1997-10-11 20:00:00,1.02358,10145,"1997/1998",12
"26","HHS Regions","Region 6",1997,42,1997-10-11 20:00:00,1.4623,10145,"1997/1998",12
"27","HHS Regions","Region 7",1997,42,1997-10-11 20:00:00,0.346781,10145,"1997/1998",12
"28","HHS Regions","Region 8",1997,42,1997-10-11 20:00:00,0.176081,10145,"1997/1998",12
"29","HHS Regions","Region 9",1997,42,1997-10-11 20:00:00,2.07269,10145,"1997/1998",12
"30","HHS Regions","Region 10",1997,42,1997-10-11 20:00:00,2.24082,10145,"1997/1998",12
"31","HHS Regions","Region 1",1997,43,1997-10-18 20:00:00,4.8125,10152,"1997/1998",13
"32","HHS Regions","Region 2",1997,43,1997-10-18 20:00:00,0.325144,10152,"1997/1998",13
"33","HHS Regions","Region 3",1997,43,1997-10-18 20:00:00,1.98399,10152,"1997/1998",13
"34","HHS Regions","Region 4",1997,43,1997-10-18 20:00:00,0.574446,10152,"1997/1998",13
"35","HHS Regions","Region 5",1997,43,1997-10-18 20:00:00,0.806177,10152,"1997/1998",13
"36","HHS Regions","Region 6",1997,43,1997-10-18 20:00:00,1.64702,10152,"1997/1998",13
"37","HHS Regions","Region 7",1997,43,1997-10-18 20:00:00,0.647388,10152,"1997/1998",13
"38","HHS Regions","Region 8",1997,43,1997-10-18 20:00:00,0.796463,10152,"1997/1998",13
"39","HHS Regions","Region 9",1997,43,1997-10-18 20:00:00,1.31691,10152,"1997/1998",13
