"","region.type","region","year","week","time","unweighted_ili","ili_count","patient_count","provider_count","weighted_ili","time_index","season","season_week"
"1","States","Alabama",2010,40,2010-10-02 20:00:00,2.13477,249,11664,35,NA,14884,"2010/2011",10
"2","States","Alaska",2010,40,2010-10-02 20:00:00,0.875146,15,1714,7,NA,14884,"2010/2011",10
"3","States","Arizona",2010,40,2010-10-02 20:00:00,0.674721,172,25492,49,NA,14884,"2010/2011",10
"4","States","Arkansas",2010,40,2010-10-02 20:00:00,0.696056,18,2586,15,NA,14884,"2010/2011",10
"5","States","California",2010,40,2010-10-02 20:00:00,1.95412,632,32342,112,NA,14884,"2010/2011",10
"6","States","Colorado",2010,40,2010-10-02 20:00:00,0.660684,134,20282,14,NA,14884,"2010/2011",10
"7","States","Connecticut",2010,40,2010-10-02 20:00:00,0.0783085,3,3831,12,NA,14884,"2010/2011",10
"8","States","Delaware",2010,40,2010-10-02 20:00:00,0.100125,4,3995,13,NA,14884,"2010/2011",10
"9","States","District of Columbia",2010,40,2010-10-02 20:00:00,2.80877,73,2599,4,NA,14884,"2010/2011",10
"10","States","Florida",2010,40,2010-10-02 20:00:00,NA,NA,NA,NA,NA,14884,"2010/2011",10
"11","States","Georgia",2010,40,2010-10-02 20:00:00,1.6049,647,40314,62,NA,14884,"2010/2011",10
"12","States","Hawaii",2010,40,2010-10-02 20:00:00,1.02934,20,1943,18,NA,14884,"2010/2011",10
"13","States","Idaho",2010,40,2010-10-02 20:00:00,0.414938,19,4579,12,NA,14884,"2010/2011",10
"14","States","Illinois",2010,40,2010-10-02 20:00:00,1.28205,505,39390,74,NA,14884,"2010/2011",10
"15","States","Indiana",2010,40,2010-10-02 20:00:00,0.518962,65,12525,44,NA,14884,"2010/2011",10
"16","States","Iowa",2010,40,2010-10-02 20:00:00,0.563063,10,1776,6,NA,14884,"2010/2011",10
"17","States","Kansas",2010,40,2010-10-02 20:00:00,0.442227,39,8819,40,NA,14884,"2010/2011",10
"18","States","Kentucky",2010,40,2010-10-02 20:00:00,0.142932,19,13293,14,NA,14884,"2010/2011",10
"19","States","Louisiana",2010,40,2010-10-02 20:00:00,NA,NA,NA,NA,NA,14884,"2010/2011",10
"20","States","Maine",2010,40,2010-10-02 20:00:00,0.357724,22,6150,30,NA,14884,"2010/2011",10
"21","States","Maryland",2010,40,2010-10-02 20:00:00,1.3192,117,8869,17,NA,14884,"2010/2011",10
"22","States","Massachusetts",2010,40,2010-10-02 20:00:00,0.604621,168,27786,56,NA,14884,"2010/2011",10
"23","States","Michigan",2010,40,2010-10-02 20:00:00,0.671831,98,14587,47,NA,14884,"2010/2011",10
"24","States","Minnesota",2010,40,2010-10-02 20:00:00,0.5748,38,6611,17,NA,14884,"2010/2011",10
"25","States","Mississippi",2010,40,2010-10-02 20:00:00,2.9098,491,16874,42,NA,14884,"2010/2011",10
"26","States","Missouri",2010,40,2010-10-02 20:00:00,1.10176,106,9621,33,NA,14884,"2010/2011",10
"27","States","Montana",2010,40,2010-10-02 20:00:00,0.0371195,1,2694,7,NA,14884,"2010/2011",10
"28","States","Nebraska",2010,40,2010-10-02 20:00:00,2.19978,61,2773,13,NA,14884,"2010/2011",10
"29","States","Nevada",2010,40,2010-10-02 20:00:00,1.66683,175,10499,30,NA,14884,"2010/2011",10
"30","States","New Hampshire",2010,40,2010-10-02 20:00:00,0.0759301,3,3951,21,NA,14884,"2010/2011",10
"31","States","New Jersey",2010,40,2010-10-02 20:00:00,2.31534,163,7040,23,NA,14884,"2010/2011",10
"32","States","New Mexico",2010,40,2010-10-02 20:00:00,2.13191,160,7505,23,NA,14884,"2010/2011",10
"33","States","New York",2010,40,2010-10-02 20:00:00,0.26299,37,14069,91,NA,14884,"2010/2011",10
"34","States","North Carolina",2010,40,2010-10-02 20:00:00,0.53143,134,25215,74,NA,14884,"2010/2011",10
"35","States","North Dakota",2010,40,2010-10-02 20:00:00,0.671355,42,6256,19,NA,14884,"2010/2011",10
"36","States","Ohio",2010,40,2010-10-02 20:00:00,0.228257,29,12705,36,NA,14884,"2010/2011",10
"37","States","Oklahoma",2010,40,2010-10-02 20:00:00,0.624179,19,3044,17,NA,14884,"2010/2011",10
"38","States","Oregon",2010,40,2010-10-02 20:00:00,0.551334,37,6711,20,NA,14884,"2010/2011",10
"39","States","Pennsylvania",2010,40,2010-10-02 20:00:00,0.703292,122,17347,64,NA,14884,"2010/2011",10
